intercept,intercept_sigma,dom_eff,dom_eff_sigma,hole_ice_p0,hole_ice_p0_sigma,hole_ice_p1,hole_ice_p1_sigma,bulk_ice_abs,bulk_ice_abs_sigma,bulk_ice_scatter,bulk_ice_scatter_sigma,deltam31,pid,reco_coszen,reco_energy
0.984377,0.007667,1.122077,0.128746,-0.070444,0.038640,-0.270462,0.238158,0.634173,0.325179,-0.126198,0.325739,0.001500,0.65,0.045,32.0
1.012421,0.007742,0.077736,0.130057,-0.055812,0.038995,-0.117296,0.243389,1.171898,0.327977,-0.908773,0.329311,0.001500,0.88,0.045,32.0
0.957475,0.008981,0.825921,0.145759,0.153570,0.043572,0.756652,0.272206,-0.035384,0.382749,-0.016250,0.382798,0.001500,0.65,-0.945,42.8
1.001540,0.004572,0.124472,0.076494,0.074349,0.022587,0.838399,0.141578,0.544848,0.192810,-0.729481,0.193381,0.001500,0.88,-0.945,42.8
0.971332,0.009076,0.811043,0.146624,0.159629,0.043880,0.707220,0.274428,-0.479961,0.382374,-0.219121,0.382209,0.001500,0.65,-0.835,42.8
0.990501,0.004566,0.090170,0.076345,0.050644,0.022650,0.500746,0.141662,0.429516,0.193502,-0.303758,0.193826,0.001500,0.88,-0.835,42.8
0.990553,0.008393,0.704438,0.141583,0.021283,0.041737,0.532513,0.260759,-0.092752,0.358619,-0.222051,0.358738,0.001500,0.65,-0.725,42.8
0.984574,0.004519,0.171576,0.075425,0.069963,0.022317,0.464019,0.139725,0.668503,0.191694,-0.614790,0.192266,0.001500,0.88,-0.725,42.8
0.986901,0.007807,1.094740,0.127924,0.114181,0.038191,0.649257,0.239186,-0.385386,0.331180,-0.308081,0.331252,0.001500,0.65,-0.615,42.8
1.000686,0.004777,0.176688,0.079666,0.012129,0.023891,0.421374,0.148740,0.611660,0.202672,-0.741374,0.203297,0.001500,0.88,-0.615,42.8
0.974744,0.007511,1.200246,0.124864,0.001295,0.037508,0.475749,0.230305,-0.720438,0.318783,0.219712,0.318384,0.001500,0.65,-0.505,42.8
0.999114,0.005115,0.215513,0.085761,0.051618,0.025290,0.377601,0.158072,0.921751,0.216624,-0.510456,0.217222,0.001500,0.88,-0.505,42.8
0.985675,0.007642,1.239774,0.125000,0.037943,0.037918,0.522750,0.234794,-0.346525,0.324429,-0.766098,0.324815,0.001500,0.65,-0.395,42.8
0.973851,0.005439,0.139612,0.090653,0.033998,0.026995,0.172845,0.168429,0.660836,0.231278,-0.217449,0.231649,0.001500,0.88,-0.395,42.8
1.006174,0.008050,1.270933,0.134358,0.009424,0.039958,-0.041152,0.249076,0.180103,0.340909,-0.274519,0.341386,0.001500,0.65,-0.285,42.8
0.985412,0.005956,0.412623,0.099598,0.021507,0.029681,0.598715,0.184275,1.043514,0.253247,-0.465584,0.253993,0.001500,0.88,-0.285,42.8
1.019605,0.008444,1.322966,0.139807,0.002302,0.041999,0.554471,0.259101,-0.172795,0.356607,-0.948304,0.357439,0.001500,0.65,-0.175,42.8
1.017818,0.006614,0.121675,0.112062,-0.044439,0.033208,-0.265143,0.205879,0.808802,0.280316,-0.737789,0.281191,0.001500,0.88,-0.175,42.8
1.050189,0.009102,1.240962,0.152189,-0.059176,0.045384,-0.580215,0.284383,0.427049,0.388766,-0.345149,0.389494,0.001500,0.65,-0.065,42.8
0.997026,0.006867,0.253155,0.114167,0.044417,0.034005,0.099636,0.214526,0.516926,0.292666,-0.337837,0.293278,0.001500,0.88,-0.065,42.8
0.987080,0.008961,1.618771,0.149870,-0.088314,0.045102,-0.637317,0.277411,-0.553731,0.371210,-0.561768,0.371259,0.001500,0.65,0.045,42.8
0.995245,0.007282,0.508287,0.122241,0.016885,0.036137,-0.075886,0.226993,0.402116,0.307076,-0.544252,0.307698,0.001500,0.88,0.045,42.8
1.052547,0.013250,1.044990,0.222012,0.062346,0.065311,0.174263,0.411716,-0.874452,0.537124,-0.260573,0.537073,0.001500,0.65,-0.945,57.4
1.004371,0.004957,0.348557,0.082703,0.030461,0.024689,0.397819,0.153397,0.432764,0.210986,0.129157,0.211158,0.001500,0.88,-0.945,57.4
1.008481,0.012377,1.214235,0.205716,0.011843,0.061852,0.770206,0.383164,-0.718510,0.513141,-0.033548,0.512530,0.001500,0.65,-0.835,57.4
1.031423,0.004965,0.412989,0.083646,0.008229,0.024817,0.306687,0.155225,0.611115,0.208640,-0.193250,0.208983,0.001500,0.88,-0.835,57.4
1.116546,0.012490,2.204643,0.202234,0.054034,0.062429,0.406574,0.389533,-1.003674,0.511321,0.626107,0.509742,0.001500,0.65,-0.725,57.4
1.025032,0.004872,0.570609,0.080970,0.072640,0.024033,0.588503,0.150765,0.180847,0.207272,-0.224698,0.207489,0.001500,0.88,-0.725,57.4
1.029115,0.010592,1.686195,0.173911,0.003231,0.052600,0.316540,0.328740,-0.357105,0.442234,0.294815,0.441855,0.001500,0.65,-0.615,57.4
1.014259,0.005031,0.710612,0.083999,0.018584,0.025047,0.594975,0.155220,0.190659,0.215502,-0.187634,0.215687,0.001500,0.88,-0.615,57.4
0.980484,0.009749,1.544421,0.163397,0.029208,0.047803,0.420145,0.298658,-0.999010,0.413716,-0.263459,0.413016,0.001500,0.65,-0.505,57.4
0.967415,0.005103,0.652891,0.084880,0.039598,0.025341,0.303884,0.157495,0.134151,0.214753,-0.466337,0.215024,0.001500,0.88,-0.505,57.4
1.025153,0.010250,1.594215,0.168259,0.038979,0.051457,0.604550,0.315886,-0.327279,0.435684,0.409880,0.435167,0.001500,0.65,-0.395,57.4
0.999501,0.005707,0.705303,0.094204,0.060780,0.028287,0.454031,0.176118,0.206840,0.243625,-0.401021,0.243931,0.001500,0.88,-0.395,57.4
0.936370,0.009512,1.493593,0.155888,0.081480,0.046684,0.333348,0.290292,-0.861112,0.403073,0.002072,0.402235,0.001500,0.65,-0.285,57.4
1.033102,0.006355,0.780512,0.105056,0.059062,0.031502,0.196877,0.196403,0.306521,0.269793,-0.205036,0.270072,0.001500,0.88,-0.285,57.4
1.003392,0.010516,1.621775,0.175019,-0.096398,0.052841,-0.242015,0.324573,0.067556,0.455910,0.219585,0.456013,0.001500,0.65,-0.175,57.4
1.015138,0.006769,0.923633,0.111484,0.013456,0.034003,0.517685,0.209394,0.448558,0.284404,-0.794467,0.285201,0.001500,0.88,-0.175,57.4
1.006993,0.011062,1.726874,0.181248,-0.043257,0.054977,-1.097672,0.342187,-0.652607,0.466339,0.684372,0.465295,0.001500,0.65,-0.065,57.4
0.997498,0.007157,0.937632,0.119344,0.023743,0.035503,0.097219,0.220410,0.623347,0.303961,-0.380261,0.304579,0.001500,0.88,-0.065,57.4
1.062380,0.012355,1.662899,0.204890,-0.047064,0.061027,-1.011774,0.385618,0.349349,0.528176,-0.353286,0.528945,0.001500,0.65,0.045,57.4
0.958127,0.007407,0.924560,0.122605,-0.009812,0.037004,-0.184966,0.230215,-0.208595,0.314304,-0.302254,0.314417,0.001500,0.88,0.045,57.4
1.021674,0.017902,1.895908,0.296376,0.092458,0.086688,0.903323,0.536569,-0.671969,0.756062,0.181590,0.754584,0.001500,0.65,-0.945,77.0
0.999994,0.005723,0.807014,0.095978,0.021484,0.028392,0.401373,0.177388,0.097824,0.241234,-0.420034,0.241570,0.001500,0.88,-0.945,77.0
