intercept,intercept_sigma,dom_eff,dom_eff_sigma,hole_ice_p0,hole_ice_p0_sigma,hole_ice_p1,hole_ice_p1_sigma,bulk_ice_abs,bulk_ice_abs_sigma,bulk_ice_scatter,bulk_ice_scatter_sigma,deltam31,pid,reco_coszen,reco_energy
1.072947,0.014447,0.878090,0.231793,0.004288,0.069580,1.536626,0.440267,-0.427277,0.618893,-1.098829,0.621058,0.001500,0.65,-0.505,32.0
1.075406,0.032928,1.279113,0.507974,0.109516,0.154662,1.833765,0.949984,-0.989114,1.447193,1.020101,1.442215,0.001500,0.88,-0.505,32.0
1.080185,0.014030,1.473352,0.225581,-0.032775,0.068956,1.059760,0.416884,0.655237,0.610236,-0.472321,0.612004,0.001500,0.65,-0.395,32.0
1.049406,0.030139,1.575254,0.490194,-0.274272,0.153153,0.925580,0.926796,1.808347,1.182896,-0.151774,1.184374,0.001500,0.88,-0.395,32.0
1.024939,0.013466,1.554930,0.220585,-0.190232,0.066668,0.738022,0.410814,1.056780,0.588656,-0.135308,0.591365,0.001500,0.65,-0.285,32.0
0.956701,0.027218,0.806300,0.426386,-0.074802,0.136799,0.084501,0.847218,0.831463,1.105128,1.956778,1.105060,0.001500,0.88,-0.285,32.0
0.941550,0.012456,1.231504,0.204532,-0.157634,0.061369,0.402017,0.384605,-0.380518,0.536524,0.168183,0.536549,0.001500,0.65,-0.175,32.0
0.959046,0.027459,1.333820,0.424785,-0.085501,0.132551,-0.036281,0.826747,-0.455400,1.176904,-0.025342,1.174801,0.001500,0.88,-0.175,32.0
0.970620,0.013206,1.390022,0.221574,-0.192507,0.064967,-0.669012,0.416116,-0.417911,0.544467,-1.165966,0.546409,0.001500,0.65,-0.065,32.0
1.205749,0.034557,0.518065,0.564185,-0.433694,0.181184,0.197590,1.057631,-1.326254,1.446760,-0.069322,1.446645,0.001500,0.88,-0.065,32.0
0.997223,0.014800,0.784556,0.238068,-0.126023,0.073054,-0.664367,0.463545,1.015688,0.626440,-0.752721,0.629843,0.001500,0.65,0.045,32.0
1.024450,0.030737,1.702307,0.481471,-0.188530,0.151895,1.210296,0.939076,-0.474693,1.304357,1.052862,1.302904,0.001500,0.88,0.045,32.0
0.970853,0.025951,1.788066,0.398513,0.331203,0.119656,1.475189,0.732808,-2.870911,1.024623,-2.606649,1.026581,0.001500,0.65,-0.945,42.8
1.034513,0.057924,0.369738,0.989811,0.684478,0.229394,2.309298,1.435357,3.230248,2.040716,-3.050014,2.072597,0.001500,0.88,-0.945,42.8
0.987837,0.020496,0.988803,0.327126,0.254704,0.096532,1.717788,0.607721,-0.686570,0.887611,0.465182,0.885655,0.001500,0.65,-0.835,42.8
0.957348,0.039376,0.974399,0.643088,0.280105,0.179618,3.072579,1.098957,-0.067519,1.593207,0.846944,1.593424,0.001500,0.88,-0.835,42.8
0.930379,0.017105,1.541273,0.269652,0.136743,0.082715,1.499275,0.524349,-0.617220,0.682540,-0.097542,0.683027,0.001500,0.65,-0.725,42.8
0.943547,0.033058,-0.159256,0.539514,0.016299,0.156888,1.701092,1.017987,-2.785910,1.233923,-2.154755,1.234977,0.001500,0.88,-0.725,42.8
0.994328,0.016651,0.898074,0.266690,0.036968,0.080130,1.040446,0.507184,-0.029187,0.707163,0.145873,0.707269,0.001500,0.65,-0.615,42.8
1.052497,0.035148,1.847132,0.557831,0.013476,0.175233,2.495643,1.049238,-2.766927,1.294716,-0.643384,1.280800,0.001500,0.88,-0.615,42.8
1.004588,0.015585,1.125180,0.250893,-0.046221,0.076336,0.764473,0.488084,0.558290,0.647461,-0.121767,0.649133,0.001500,0.65,-0.505,42.8
