Mon Apr  3 16:01:39 2023    output.dat

         348330 function calls (343552 primitive calls) in 3.735 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    205/1    0.002    0.000    3.736    3.736 {built-in method builtins.exec}
      204    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      200    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      195    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3392(<genexpr>)
      190    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:359(__call__)
      190    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:265(_compile_charset)
      190    0.002    0.000    0.002    0.000 /usr/lib/python3.10/sre_compile.py:292(_optimize_charset)
      189    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:678(__new__)
   189/45    0.001    0.000    0.018    0.000 /usr/lib/python3.10/sre_parse.py:436(_parse_sub)
      188    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:2656(<genexpr>)
      187    0.000    0.000    0.007    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1408(get_metadata)
      187    0.000    0.000    0.011    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1421(get_metadata_lines)
      187    0.000    0.000    0.004    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1615(_get)
      183    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      181    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      181    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
      181    0.003    0.000    0.003    0.000 {built-in method io.open_code}
      181    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1242(__eq__)
      181    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      181    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
